Frequency [MHz], e: T21 [K], c: Tres2 [K]
51.184082,-0.099255,-0.099255
51.574707,0.021244,0.021244
51.965332,0.032533,0.032533
52.355957,-0.001962,-0.001962
52.746582,0.023546,0.023546
53.137207,0.015001,0.015001
53.527832,0.03914,0.03914
53.918457,0.028024,0.028025
54.309082,-0.042743,-0.042742
54.699707,0.034442,0.034444
55.090332,0.053526,0.053529
55.480957,0.022478,0.022483
55.871582,0.007287,0.007294
56.262207,0.006726,0.006738
56.652832,-0.029575,-0.029556
57.043457,0.013467,0.013496
57.434082,0.031867,0.031911
57.824707,-0.035885,-0.035817
58.215332,-0.029239,-0.029136
58.605957,-0.038553,-0.038399
58.996582,-0.062,-0.06177
59.387207,-0.06632,-0.06598
59.777832,-0.052833,-0.052334
60.168457,-0.020422,-0.019695
60.559082,-0.027724,-0.026675
60.949707,-0.012465,-0.010963
61.340332,-0.000244,0.001889
61.730957,0.000367,0.003372
62.121582,0.014287,0.018483
62.512207,0.020251,0.026062
62.902832,0.034433,0.042412
63.293457,0.012798,0.023657
63.684082,0.00427,0.018917
64.074707,-0.040438,-0.020862
64.465332,-0.027765,-0.001848
64.855957,-0.001704,0.032272
65.246582,-0.040608,0.003478
65.637207,-0.029794,0.026801
66.027832,-0.058995,0.012847
66.418457,-0.074625,0.015499
66.809082,-0.111071,0.00059
67.199707,-0.114699,0.021845
67.590332,-0.149934,0.014759
67.980957,-0.195007,0.000804
68.371582,-0.248543,-0.019179
68.762207,-0.262147,0.002433
69.152832,-0.292883,0.007604
69.543457,-0.319127,0.01686
69.934082,-0.341775,0.028188
70.324707,-0.393302,0.008089
70.715332,-0.44286,-0.013398
71.105957,-0.45958,-0.005927
71.496582,-0.502166,-0.028399
71.887207,-0.48091,0.008999
72.277832,-0.513919,-0.01149
72.668457,-0.521514,-0.009683
73.059082,-0.5426,-0.023914
73.449707,-0.549911,-0.026358
73.840332,-0.543608,-0.016675
74.230957,-0.547466,-0.018228
74.621582,-0.552424,-0.021634
75.012207,-0.508063,0.023762
75.402832,-0.520877,0.011635
75.793457,-0.521008,0.01196
76.184082,-0.518233,0.015037
76.574707,-0.545149,-0.01168
76.965332,-0.530825,0.002774
77.355957,-0.517084,0.016595
77.746582,-0.526676,0.007047
78.137207,-0.533806,-0.000069
78.527832,-0.536694,-0.002971
78.918457,-0.530409,0.00327
79.309082,-0.515504,0.018095
79.699707,-0.52218,0.011289
80.090332,-0.53834,-0.00507
80.480957,-0.546239,-0.013271
80.871582,-0.537514,-0.005002
81.262207,-0.557286,-0.025461
81.652832,-0.545097,-0.014307
82.043457,-0.516433,0.012805
82.434082,-0.523912,0.003021
82.824707,-0.502065,0.021488
83.215332,-0.51423,0.004456
83.605957,-0.508292,0.003539
83.996582,-0.481453,0.020976
84.387207,-0.482901,0.007008
84.777832,-0.463061,0.010706
85.168457,-0.435904,0.017749
85.559082,-0.415078,0.014384
85.949707,-0.402489,-0.001098
86.340332,-0.386412,-0.016449
86.730957,-0.348719,-0.012732
87.121582,-0.323528,-0.023041
87.512207,-0.274781,-0.010201
87.902832,-0.218889,0.010475
88.293457,-0.187455,0.008356
88.684082,-0.167347,-0.002654
89.074707,-0.14568,-0.009136
89.465332,-0.116573,-0.004912
89.855957,-0.108873,-0.018749
90.246582,-0.116111,-0.044269
90.637207,-0.076063,-0.019468
91.027832,-0.037803,0.006283
91.418457,-0.023326,0.01065
91.809082,-0.025763,0.000154
92.199707,-0.037094,-0.017518
92.590332,-0.047161,-0.032514
92.980957,-0.063961,-0.053102
93.371582,-0.025044,-0.017065
93.762207,0.008006,0.013817
94.152832,0.006752,0.010948
94.543457,0.015682,0.018687
94.934082,0.053793,0.055926
95.324707,0.013026,0.014528
95.715332,-0.007435,-0.006386
96.105957,0.055291,0.056018
96.496582,0.017274,0.017773
96.887207,0.01642,0.01676
97.277832,-0.010637,-0.010407
97.668457,-0.02589,-0.025736
98.059082,0.006636,0.006739
98.449707,0.018816,0.018884
98.840332,-0.033625,-0.033581