freq [Hz],Tsky [K],dT21 [K]
51.184082,4645.468619,-0.099255
51.574707,4556.501107,0.021244
51.965332,4469.791669,0.032533
52.355957,4385.322184,-0.001962
52.746582,4303.120393,0.023546
53.137207,4223.017511,0.015001
53.527832,4145.008691,0.03914
53.918457,4068.957403,0.028025
54.309082,3994.773488,-0.042742
54.699707,3922.60149,0.034444
55.090332,3852.174856,0.053529
55.480957,3783.443492,0.022483
55.871582,3716.417642,0.007294
56.262207,3651.042547,0.006738
56.652832,3587.216399,-0.029556
57.043457,3525.004851,0.013496
57.434082,3464.256396,0.031911
57.824707,3404.863823,-0.035817
58.215332,3346.943716,-0.029136
58.605957,3290.36341,-0.038399
58.996582,3235.084007,-0.06177
59.387207,3181.09955,-0.06598
59.777832,3128.370951,-0.052334
60.168457,3076.862936,-0.019695
60.559082,3026.481795,-0.026675
60.949707,2977.255996,-0.010963
61.340332,2929.127336,0.001889
61.730957,2882.0558,0.003372
62.121582,2836.035966,0.018483
62.512207,2791.017292,0.026062
62.902832,2746.987689,0.042412
63.293457,2703.875832,0.023657
63.684082,2661.70429,0.018917
64.074707,2620.398315,-0.020862
64.465332,2580.026868,-0.001848
64.855957,2540.522177,0.032272
65.246582,2501.782901,0.003478
65.637207,2463.901499,0.026801
66.027832,2426.766741,0.012847
66.418457,2390.411416,0.015499
66.809082,2354.781015,0.00059
67.199707,2319.909699,0.021845
67.590332,2285.714192,0.014759
67.980957,2252.198009,0.000804
68.371582,2219.34485,-0.019179
68.762207,2187.18599,0.002433
69.152832,2155.647776,0.007604
69.543457,2124.735759,0.01686
69.934082,2094.433467,0.028188
70.324707,2064.693322,0.008089
70.715332,2035.531531,-0.013398
71.105957,2006.964765,-0.005927
71.496582,1978.920551,-0.028399
71.887207,1951.475232,0.008999
72.277832,1924.497743,-0.01149
72.668457,1898.055179,-0.009683
73.059082,1872.09643,-0.023914
73.449707,1846.636905,-0.026358
73.840332,1821.664936,-0.016675
74.230957,1797.14557,-0.018228
74.621582,1773.077015,-0.021634
75.012207,1749.499141,0.023762
75.402832,1726.295212,0.011635
75.793457,1703.525126,0.01196
76.184082,1681.169433,0.015037
76.574707,1659.186128,-0.01168
76.965332,1637.636999,0.002774
77.355957,1616.471328,0.016595
77.746582,1595.657721,0.007047
78.137207,1575.213562,-0.000069
78.527832,1555.132449,-0.002971
78.918457,1535.411353,0.00327
79.309082,1516.041978,0.018095
79.699707,1496.986581,0.011289
80.090332,1478.249926,-0.00507
80.480957,1459.842614,-0.013271
80.871582,1441.766056,-0.005002
81.262207,1423.96836,-0.025461
81.652832,1406.50339,-0.014307
82.043457,1389.349236,0.012805
82.434082,1372.447029,0.003021
82.824707,1355.856139,0.021488
83.215332,1339.507293,0.004456
83.605957,1323.446816,0.003539
83.996582,1307.671868,0.020976
84.387207,1292.127764,0.007008
84.777832,1276.858721,0.010706
85.168457,1261.84554,0.017749
85.559082,1247.069482,0.014384
85.949707,1232.523672,-0.001098
86.340332,1218.214991,-0.016449
86.730957,1204.156838,-0.012732
87.121582,1190.310488,-0.023041
87.512207,1176.707498,-0.010201
87.902832,1163.327069,0.010475
88.293457,1150.133317,0.008356
88.684082,1137.135192,-0.002654
89.074707,1124.3415,-0.009136
89.465332,1111.754139,-0.004912
89.855957,1099.340374,-0.018749
90.246582,1087.102879,-0.044269
90.637207,1075.10017,-0.019468
91.027832,1063.279552,0.006283
91.418457,1051.615497,0.01065
91.809082,1040.111418,0.000154
92.199707,1028.771962,-0.017518
92.590332,1017.603993,-0.032514
92.980957,1006.596294,-0.053102
93.371582,995.808165,-0.017065
93.762207,985.174949,0.013817
94.152832,974.665204,0.010948
94.543457,964.32048,0.018687
94.934082,954.156901,0.055926
95.324707,944.063604,0.014528
95.715332,934.137025,-0.006386
96.105957,924.437363,0.056018
96.496582,914.778064,0.017773
96.887207,905.294465,0.01676
97.277832,895.920693,-0.010407
97.668457,886.692297,-0.025736
98.059082,877.642853,0.006739
98.449707,868.701882,0.018884
98.840332,859.822813,-0.033581